
2024/11/10 (12:32:42) | ===> btop++ v.1.4.0
2024/11/10 (12:32:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (14:42:52) | ===> btop++ v.1.4.0
2024/11/13 (14:42:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (12:30:36) | ===> btop++ v.1.4.0
2024/12/22 (12:30:36) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/22 (12:30:42) | ERROR: Stall in Runner thread, restarting!

2025/02/23 (11:06:57) | ===> btop++ v.1.4.0
2025/02/23 (11:06:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (11:07:24) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (12:32:27) | ===> btop++ v.1.4.0
2025/02/23 (12:32:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (13:32:30) | ===> btop++ v.1.4.0
2025/02/23 (13:32:30) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/23 (13:33:22) | WARNING: Failed to join _runner thread on exit!

2025/02/23 (17:06:51) | ===> btop++ v.1.4.0
2025/02/23 (17:06:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (17:07:41) | ===> btop++ v.1.4.0
2025/02/23 (17:07:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (17:18:42) | ===> btop++ v.1.4.0
2025/02/23 (17:18:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (20:36:33) | ===> btop++ v.1.4.0
2025/02/23 (20:36:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (20:43:39) | ===> btop++ v.1.4.0
2025/02/23 (20:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (20:43:52) | ===> btop++ v.1.4.0
2025/02/23 (20:43:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (17:16:04) | ===> btop++ v.1.4.0
2025/02/24 (17:16:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (19:12:08) | ===> btop++ v.1.4.0
2025/02/24 (19:12:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:06:50) | ===> btop++ v.1.4.0
2025/02/24 (20:06:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:11:06) | ===> btop++ v.1.4.0
2025/02/24 (20:11:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (20:11:12) | ===> btop++ v.1.4.0
